RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-04-30,2022-06-30,2023-03-31
102001,0,United States,Country,,2022-03-31,2.2,6.2,13.2
394913,1,"New York, NY",Msa,NY,2022-03-31,1.7,4.9,9.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,2022-03-31,2.0,5.8,14.1
394463,3,"Chicago, IL",Msa,IL,2022-03-31,1.9,5.2,9.3
394514,4,"Dallas-Fort Worth, TX",Msa,TX,2022-03-31,4.0,13.8,24.5
394974,5,"Philadelphia, PA",Msa,PA,2022-03-31,1.9,5.5,10.7
394692,6,"Houston, TX",Msa,TX,2022-03-31,2.4,6.5,12.5
395209,7,"Washington, DC",Msa,DC,2022-03-31,1.9,4.8,9.4
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2022-03-31,2.7,8.6,17.2
394347,9,"Atlanta, GA",Msa,GA,2022-03-31,2.6,8.0,18.6
394404,10,"Boston, MA",Msa,MA,2022-03-31,1.9,5.6,10.6
395057,11,"San Francisco, CA",Msa,CA,2022-03-31,1.6,4.5,12.1
394532,12,"Detroit, MI",Msa,MI,2022-03-31,2.0,5.8,11.7
395025,13,"Riverside, CA",Msa,CA,2022-03-31,2.4,6.6,16.0
394976,14,"Phoenix, AZ",Msa,AZ,2022-03-31,2.0,6.0,17.0
395078,15,"Seattle, WA",Msa,WA,2022-03-31,2.3,5.8,15.7
394865,16,"Minneapolis-St Paul, MN",Msa,MN,2022-03-31,1.7,5.0,10.6
395056,17,"San Diego, CA",Msa,CA,2022-03-31,2.8,8.8,19.4
395121,18,"St. Louis, MO",Msa,MO,2022-03-31,1.9,5.2,10.1
395148,19,"Tampa, FL",Msa,FL,2022-03-31,3.1,9.3,21.0
394358,20,"Baltimore, MD",Msa,MD,2022-03-31,1.7,4.8,8.7
394530,21,"Denver, CO",Msa,CO,2022-03-31,2.4,6.9,14.9
394982,22,"Pittsburgh, PA",Msa,PA,2022-03-31,1.9,5.9,10.8
394998,23,"Portland, OR",Msa,OR,2022-03-31,2.1,6.0,12.3
394458,24,"Charlotte, NC",Msa,NC,2022-03-31,2.8,8.1,18.4
395045,25,"Sacramento, CA",Msa,CA,2022-03-31,2.2,6.0,15.4
395055,26,"San Antonio, TX",Msa,TX,2022-03-31,2.5,6.9,14.3
394943,27,"Orlando, FL",Msa,FL,2022-03-31,2.9,8.8,18.3
394466,28,"Cincinnati, OH",Msa,OH,2022-03-31,1.9,5.7,12.3
394475,29,"Cleveland, OH",Msa,OH,2022-03-31,2.1,6.0,12.0
394735,30,"Kansas City, MO",Msa,MO,2022-03-31,2.0,5.3,12.1
394775,31,"Las Vegas, NV",Msa,NV,2022-03-31,2.9,8.4,19.1
394492,32,"Columbus, OH",Msa,OH,2022-03-31,2.1,6.0,13.1
394705,33,"Indianapolis, IN",Msa,IN,2022-03-31,2.0,5.9,13.1
395059,34,"San Jose, CA",Msa,CA,2022-03-31,1.5,4.4,13.1
394355,35,"Austin, TX",Msa,TX,2022-03-31,2.0,5.8,16.0
395194,36,"Virginia Beach, VA",Msa,VA,2022-03-31,1.8,4.9,9.6
394902,37,"Nashville, TN",Msa,TN,2022-03-31,3.3,9.9,20.6
395005,38,"Providence, RI",Msa,RI,2022-03-31,2.1,6.3,12.8
394862,39,"Milwaukee, WI",Msa,WI,2022-03-31,2.1,5.6,11.0
394714,40,"Jacksonville, FL",Msa,FL,2022-03-31,2.7,7.9,17.7
394849,41,"Memphis, TN",Msa,TN,2022-03-31,2.1,6.0,14.3
394935,42,"Oklahoma City, OK",Msa,OK,2022-03-31,1.8,5.2,10.6
394807,43,"Louisville-Jefferson County, KY",Msa,KY,2022-03-31,1.8,5.1,11.0
394669,44,"Hartford, CT",Msa,CT,2022-03-31,2.0,6.1,10.2
395022,45,"Richmond, VA",Msa,VA,2022-03-31,1.6,4.9,10.2
394910,46,"New Orleans, LA",Msa,LA,2022-03-31,1.7,4.7,9.0
394425,47,"Buffalo, NY",Msa,NY,2022-03-31,2.1,6.6,12.9
395012,48,"Raleigh, NC",Msa,NC,2022-03-31,3.2,9.8,20.0
394388,49,"Birmingham, AL",Msa,AL,2022-03-31,1.8,5.3,12.1
395053,50,"Salt Lake City, UT",Msa,UT,2022-03-31,2.6,7.8,18.3
395031,51,"Rochester, NY",Msa,NY,2022-03-31,2.0,6.1,11.4
394640,52,"Grand Rapids, MI",Msa,MI,2022-03-31,2.1,5.8,13.4
395167,53,"Tucson, AZ",Msa,AZ,2022-03-31,2.5,7.3,16.8
753924,54,"Urban Honolulu, HI",Msa,HI,2022-03-31,1.8,5.5,10.0
395169,55,"Tulsa, OK",Msa,OK,2022-03-31,1.8,5.4,11.3
394619,56,"Fresno, CA",Msa,CA,2022-03-31,2.3,6.5,15.4
395238,57,"Worcester, MA",Msa,MA,2022-03-31,2.2,6.6,12.6
394415,58,"Stamford, CT",Msa,CT,2022-03-31,2.3,7.2,11.7
394312,59,"Albuquerque, NM",Msa,NM,2022-03-31,2.2,6.3,14.0
394308,60,"Albany, NY",Msa,NY,2022-03-31,1.8,5.3,9.9
394938,61,"Omaha, NE",Msa,NE,2022-03-31,1.8,5.2,11.3
394908,62,"New Haven, CT",Msa,CT,2022-03-31,2.5,7.4,12.9
394357,63,"Bakersfield, CA",Msa,CA,2022-03-31,2.3,6.3,15.4
394753,64,"Knoxville, TN",Msa,TN,2022-03-31,2.6,8.0,17.8
394653,65,"Greenville, SC",Msa,SC,2022-03-31,2.1,6.4,13.8
394952,66,"Ventura, CA",Msa,CA,2022-03-31,1.9,5.4,12.6
394318,67,"Allentown, PA",Msa,PA,2022-03-31,2.2,6.5,12.5
394561,68,"El Paso, TX",Msa,TX,2022-03-31,1.9,5.7,11.4
394367,69,"Baton Rouge, LA",Msa,LA,2022-03-31,1.6,4.2,7.6
394521,70,"Dayton, OH",Msa,OH,2022-03-31,2.1,6.2,13.2
394843,71,"McAllen, TX",Msa,TX,2022-03-31,1.9,5.5,11.9
394486,72,"Columbia, SC",Msa,SC,2022-03-31,2.4,6.7,13.5
394648,73,"Greensboro, NC",Msa,NC,2022-03-31,2.1,6.0,13.9
394304,74,"Akron, OH",Msa,OH,2022-03-31,1.8,5.3,11.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,2022-03-31,3.8,11.7,23.0
394798,76,"Little Rock, AR",Msa,AR,2022-03-31,1.6,4.8,9.1
395134,77,"Stockton, CA",Msa,CA,2022-03-31,2.6,6.1,16.5
394457,78,"Charleston, SC",Msa,SC,2022-03-31,1.7,4.9,12.2
395143,79,"Syracuse, NY",Msa,NY,2022-03-31,2.8,7.0,12.4
394484,80,"Colorado Springs, CO",Msa,CO,2022-03-31,2.0,5.9,16.3
395235,81,"Winston-Salem, NC",Msa,NC,2022-03-31,2.1,6.1,14.2
395224,82,"Wichita, KS",Msa,KS,2022-03-31,1.8,5.1,10.6
395115,83,"Springfield, MA",Msa,MA,2022-03-31,2.0,6.2,11.0
394440,84,"Fort Myers, FL",Msa,FL,2022-03-31,3.6,11.4,21.7
